PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV,team
1630163,210,LaMelo Ball,1610612766,CHA,22,711,183,423,0.433,70,197,0.355,90,104,0.865,29,84,113,176,40,4,83,79,526,522,2.12,0.48,Buzz
1630217,97,Desmond Bane,1610612763,MEM,42,1443,360,776,0.464,137,360,0.381,140,161,0.87,36,149,185,230,43,22,112,120,997,928,2.05,0.38,Buzz
1626179,64,Terry Rozier,1610612748,MIA,61,2040,442,998,0.443,149,410,0.363,172,198,0.869,35,212,247,342,63,21,106,101,1205,1190,3.23,0.59,Buzz
1630530,131,Trey Murphy III,1610612740,NOP,57,1690,275,621,0.443,169,445,0.38,123,151,0.815,42,238,280,124,51,28,34,70,842,917,3.65,1.5,Buzz
1629023,106,P.J. Washington,1610612742,DAL,73,2221,354,811,0.436,132,413,0.32,99,145,0.683,85,326,411,141,72,59,96,169,939,1023,1.47,0.75,Buzz
1641706,57,Brandon Miller,1610612766,CHA,74,2383,476,1083,0.44,184,493,0.373,143,173,0.827,60,255,315,175,66,42,132,184,1279,1108,1.33,0.5,Buzz
202685,95,Jonas Valanciunas,1610612740,NOP,82,1925,402,719,0.559,37,120,0.308,161,205,0.785,186,535,721,173,32,68,111,218,1002,1524,1.56,0.29,Buzz
1630631,250,Jose Alvarado,1610612740,NOP,56,1028,142,345,0.412,78,207,0.377,35,52,0.673,25,103,128,117,59,15,40,89,397,456,2.92,1.48,Buzz
1630214,298,Xavier Tillman,1610612738,BOS,54,975,121,279,0.434,20,81,0.247,22,50,0.44,70,141,211,77,51,44,34,75,284,447,2.27,1.5,Buzz
1629656,264,Quentin Grimes,1610612765,DET,51,1025,122,328,0.372,81,240,0.338,34,45,0.756,15,85,100,66,35,7,28,75,359,322,2.36,1.25,Buzz
1641739,209,Toumani Camara,1610612757,POR,70,1739,197,438,0.45,58,172,0.337,75,99,0.758,139,204,343,87,66,33,84,174,527,707,1.04,0.79,Buzz
201587,281,Nicolas Batum,1610612755,PHI,60,1530,116,256,0.453,73,185,0.395,15,21,0.714,70,178,248,128,48,38,40,109,320,596,3.2,1.2,Buzz
1629006,302,Josh Okogie,1610612756,PHX,60,960,86,206,0.417,29,94,0.309,76,102,0.745,74,80,154,64,48,24,36,68,277,385,1.78,1.33,Buzz
1630699,337,MarJon Beauchamp,1610612749,MIL,48,608,81,166,0.488,30,75,0.4,19,28,0.679,22,77,99,31,13,7,27,54,211,240,1.15,0.48,Buzz
1629013,277,Landry Shamet,1610612764,WAS,46,727,118,274,0.431,53,157,0.338,38,46,0.826,16,46,62,54,25,10,30,76,327,284,1.8,0.83,Buzz
1641816,507,Hunter Tyson,1610612743,DEN,18,48,8,20,0.4,4,14,0.286,0,0,0.0,1,8,9,2,1,0,2,10,20,18,1.0,0.5,Buzz
1641735,498,Amari Bailey,1610612766,CHA,10,65,8,24,0.333,1,8,0.125,6,7,0.857,6,3,9,7,3,0,4,2,23,21,1.75,0.75,Buzz
202704,136,Reggie Jackson,1610612743,DEN,82,1817,326,756,0.431,102,284,0.359,79,98,0.806,33,122,155,308,44,13,106,149,833,798,2.91,0.41,luk
203083,167,Andre Drummond,1610612741,CHI,79,1351,267,480,0.556,0,3,0.0,129,218,0.592,265,443,708,37,73,48,81,140,663,1146,0.46,0.9,luk
203501,74,Tim Hardaway Jr.,1610612742,DAL,79,2120,392,976,0.402,211,597,0.353,144,169,0.852,22,232,254,139,42,6,69,106,1139,902,2.01,0.61,luk
201145,219,Jeff Green,1610612745,HOU,78,1307,167,366,0.456,53,160,0.331,122,149,0.819,46,132,178,70,16,31,46,100,509,532,1.52,0.35,luk
1627884,169,Derrick Jones Jr.,1610612742,DAL,76,1783,239,495,0.483,82,239,0.343,97,136,0.713,82,168,250,75,53,51,65,121,657,726,1.15,0.81,luk
1628369,8,Jayson Tatum,1610612738,BOS,74,2645,672,1426,0.471,229,609,0.376,414,497,0.833,67,534,601,364,75,43,188,145,1987,2045,1.94,0.4,luk
2544,14,LeBron James,1610612747,LAL,71,2504,685,1269,0.54,149,363,0.41,303,404,0.75,61,457,518,589,89,38,245,78,1822,2126,2.4,0.36,luk
201950,126,Jrue Holiday,1610612738,BOS,69,2263,331,689,0.48,138,322,0.429,60,72,0.833,84,289,373,333,61,53,124,108,860,1186,2.69,0.49,luk
202695,21,Kawhi Leonard,1610612746,LAC,68,2330,610,1162,0.525,140,336,0.417,253,286,0.885,84,332,416,244,111,59,119,97,1613,1739,2.05,0.93,luk
1627747,103,Caris LeVert,1610612739,CLE,68,1958,345,820,0.421,108,332,0.325,154,201,0.766,39,241,280,346,76,34,117,121,952,1049,2.96,0.65,luk
1628971,158,Bruce Brown,1610612761,TOR,67,1865,278,582,0.478,53,164,0.323,117,142,0.824,53,231,284,192,59,17,86,148,726,863,2.23,0.69,luk
1628464,258,Daniel Theis,1610612746,LAC,60,1015,156,293,0.532,26,71,0.366,38,50,0.76,85,159,244,61,21,51,42,127,376,562,1.45,0.5,luk
1628964,311,Mo Bamba,1610612755,PHI,57,740,97,198,0.49,25,64,0.391,34,50,0.68,77,161,238,41,22,60,39,101,253,458,1.05,0.56,luk
202711,121,Bojan Bogdanovic,1610612752,NYK,57,1478,309,681,0.454,133,334,0.398,117,149,0.785,22,130,152,97,30,5,101,95,868,647,0.96,0.3,luk
203114,138,Khris Middleton,1610612749,MIL,55,1487,317,643,0.493,94,247,0.381,100,120,0.833,40,217,257,292,51,15,127,141,828,970,2.3,0.4,luk
202330,223,Gordon Hayward,1610612760,OKC,51,1245,187,403,0.464,37,90,0.411,89,120,0.742,38,143,181,158,40,13,66,67,500,579,2.39,0.61,luk
1630587,399,Isaiah Livers,1610612765,DET,23,469,40,116,0.345,22,77,0.286,12,18,0.667,15,33,48,25,13,5,16,43,114,107,1.56,0.81,luk
1629057,464,Robert Williams III,1610612757,POR,6,119,17,26,0.654,0,0,0.0,7,9,0.778,11,27,38,5,7,7,7,17,41,80,0.71,1.0,luk
1628401,79,Derrick White,1610612738,BOS,73,2381,387,839,0.461,196,495,0.396,137,152,0.901,51,259,310,377,74,87,112,152,1107,1376,3.37,0.66,esri
203484,150,Kentavious Caldwell-Pope,1610612743,DEN,76,2402,270,587,0.46,125,308,0.406,101,113,0.894,31,152,183,183,98,42,75,151,766,868,2.44,1.31,esri
1627741,93,Buddy Hield,1610612755,PHI,84,2160,371,850,0.436,219,568,0.386,52,59,0.881,61,208,269,236,70,42,103,169,1013,1041,2.29,0.68,esri
201142,7,Kevin Durant,1610612756,PHX,75,2791,751,1436,0.523,168,407,0.413,362,423,0.856,41,454,495,378,69,91,244,133,2032,2075,1.55,0.28,esri
203924,75,Jerami Grant,1610612757,POR,54,1830,383,850,0.451,111,276,0.402,255,312,0.817,37,154,191,152,45,34,116,117,1132,914,1.31,0.39,esri
203110,230,Draymond Green,1610612744,GSW,55,1490,185,372,0.497,51,129,0.395,54,74,0.73,76,322,398,332,55,47,135,166,475,965,2.46,0.41,esri
203999,5,Nikola Jokic,1610612743,DEN,79,2737,822,1411,0.583,83,231,0.359,358,438,0.817,223,753,976,708,108,68,237,194,2085,3039,2.99,0.46,esri
201569,155,Eric Gordon,1610612756,PHX,68,1893,274,618,0.443,150,397,0.378,51,64,0.797,16,106,122,139,66,30,73,79,749,676,1.9,0.9,esri
1627763,180,Malcolm Brogdon,1610612757,POR,39,1121,218,496,0.44,82,199,0.412,95,116,0.819,28,120,148,214,27,8,60,58,613,651,3.57,0.45,esri
1627752,162,Taurean Prince,1610612747,LAL,78,2108,253,572,0.442,141,356,0.396,50,68,0.735,21,209,230,119,58,35,73,146,697,729,1.63,0.8,esri
1628392,189,Isaiah Hartenstein,1610612752,NYK,75,1896,235,365,0.644,1,3,0.333,111,157,0.707,244,382,626,188,87,85,93,210,582,1299,2.02,0.94,esri
1628988,216,Aaron Holiday,1610612745,HOU,78,1269,186,417,0.446,84,217,0.387,58,63,0.921,23,100,123,140,42,6,53,125,514,536,2.64,0.79,esri
1629726,278,Garrison Mathews,1610612737,ATL,66,992,103,226,0.456,85,193,0.44,34,42,0.81,17,75,92,37,20,8,19,115,325,332,1.95,1.05,esri
1627780,320,Gary Payton II,1610612744,GSW,44,680,103,183,0.563,20,55,0.364,14,23,0.609,46,67,113,48,39,18,27,77,240,342,1.78,1.44,esri
1630590,306,Scotty Pippen Jr.,1610612763,MEM,21,527,100,203,0.493,30,72,0.417,41,55,0.745,22,45,67,98,36,10,56,60,271,309,1.75,0.64,esri
